tconst,Id_TMDB,Titre,Titre Original,Date de sortie,Durée,Budget,Recettes,Pays d'origine,Langue Originale,Moyenne des votes,Nombre de votants,Popularité,Résumé,Lien_vidéo,Affiche du Film,Genres,Mots clés,Pays_production,Société_production,Logo,Mots_cles_top5,Société_production_top5,Annee_sortie
tt1524169,321040,Day Camp,Day Camp,2009-01-01,72,40000000.0,92000000.0,US,en,4.0,0.0,3.6,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2Non renseigné,Comedy,Non renseigné,United States of America,,Non renseigné,,,2009
tt1603444,129466,Unitards,Unitards,2010-01-01,107,40000000.0,92000000.0,US,en,4.0,0.0,0.0,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1JWKfVxv7vsL7kLBJN4Uz2ZejbY.jpg,"Comedy,Family,Music",Non renseigné,United States of America,,Non renseigné,,,2010
tt11702252,916721,The Year Between,The Year Between,2023-03-03,94,40000000.0,92000000.0,US,en,4.2,10.0,1.8,"Après avoir été diagnostiquée avec une maladie mentale, Clemence Miller abandonne l'université et rentre à la maison pour vivre dans le sous-sol de sa famille. Devant faire face à ses relations brisées et aux responsabilités de l'âge adulte, elle rend tout le monde autour d'elle... fou.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bdnssamVMsNgeqVE5hFC10HVuJo.jpg,"Comedy,Drama","mental illness, woman director, bipolar disorder, late coming of age, college dropout",United States of America,"Level Forward, Full Spectrum Features, Chicago Media Angels","https://image.tmdb.org/t/p/w300/jW6q5HfAh4LrIQHqM3dqBq937Xa.png, https://image.tmdb.org/t/p/w300/glnbLuSac2ZQFYGssl1pFVS5PFO.png, https://image.tmdb.org/t/p/w300/fX1W5MurtT9DxfB3nqphJefpJ5g.png","mental illness,woman director",,2023
tt0350703,293411,La chatte andalouse,La chatte andalouse,2002-11-25,48,8616269.0,8562951.0,US,en,4.5,4.0,0.6,"Âgé de 21 ans à peine, Sœur Angèle vend le miel produit par sa communauté religieuse, ""Les petites sœurs de la couronne d'épines"". Elle se consacre ses après-midis à des activités beaucoup moins avouables...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qsTMZOtjrzvQBQO2sCcPS8BmU4R.jpg,"Comedy,Drama",Non renseigné,France,Canal+,https://image.tmdb.org/t/p/w300/9aotxauvc9685tq9pTcRJszuT06.png,,Canal+,2002
tt1087829,12174,Aide-toi le ciel t'aidera,Aide-toi le ciel t'aidera,2008-08-30,94,8616269.0,8562951.0,US,en,4.5,4.0,1.4,"Sonia, jolie black, mariée, quatre enfants, est aide familiale dans sa cité. Le jour où elle marie sa fille, le ciel lui tombe sur la tête. Robert, son voisin de palier octogénaire, est son seul recours. Plus blanc que lui, difficile de trouver. Plus serviable non plus, d'ailleurs... Mais dans la vie rien n'est gratuit. Sauf le hasard, si on sait en profiter. Aide-toi, le ciel t'aidera...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pNCybUBAusAUgya9rl9KjIuiqeP.jpg,Comedy,Non renseigné,France,,Non renseigné,,,2008
tt2519088,731774,Dangerous People,Dangerous People,2015-04-01,95,40000000.0,92000000.0,US,en,4.7,3.0,0.1,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bUBJgGcWZ4XTKixmO2oPfo6LrmE.jpg,"Comedy,Horror,Thriller",Non renseigné,United States of America,,Non renseigné,,,2015
tt3627780,308919,Le Noël de mes dix ans,Wishin' and Hopin',2014-11-23,83,40000000.0,92000000.0,US,en,4.8,12.0,2.5,"Felix Funicello, écrivain américain d’une soixantaine d’années, revisite pour nous ses souvenirs du Noël de l’année 1962 qui resta, pour différentes raisons, gravé à jamais dans sa mémoire. Cette année-là, il se passe beaucoup de choses dans la vie du petit Felix, dix ans, élève de dernière année à Saint-Aloysius (Saint-Louis), une école catholique stricte et austère. Quelques jours avant Noël, une nouvelle enseignante québécoise laïque remplace temporairement l’institutrice de Felix. Beaucoup plus chaleureuse et ouverte que les religieuses et passionnée par son métier, elle va laisser un souvenir indélébile à Felix. Peu de temps après, une nouvelle élève, Zhenia, fait à son tour son entrée dans la classe. C'est une petite Russe, dont la famille vient d’émigrer aux Etats-Unis. Jolie et plus âgée que les autres élèves, elle ne laisse pas les garçons de la classe indifférents.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ejL6YkADt2QHyfy4VhouaSLRQNQ.jpg,"Comedy,Drama,Family","small town, based on novel or book, substitute teacher, connecticut, catholic school, exchange student, christmas, 1960s",United States of America,"Stargazer Films, Synthetic Cinema International, Flavorlab","https://image.tmdb.org/t/p/w300/xuR3B9b9lAvpoTcScwWbKgr8beJ.png, https://image.tmdb.org/t/p/w300/4jwuS7AnT0Itq4ExleF90Cmo3mt.png","small town,based on novel or book,christmas,1960s",,2014
tt2644044,395978,Where is Rocky II?,Where is Rocky II?,2016-05-01,93,27000000.0,38058335.0,US,en,5.0,0.0,2.6,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bZxQhPXTas4vtyyvZbL8D1ADJB2.jpg,"Comedy,Documentary,Mystery","private investigator, art","France, Germany, Belgium, Italy","Vivo Film, The Ink Connection, Vandertastic Films, Frakas Productions, In Between Art Film","https://image.tmdb.org/t/p/w300/wqc8HTYdCCFnguN2Ma55lr2HIyC.png, https://image.tmdb.org/t/p/w300/qy0c8vFDjkPpbuBCsZCvyn3rCOr.png, https://image.tmdb.org/t/p/w300/d0Cld16NzSAizrXfO6jrN3nH6az.png",,,2016
tt0215516,48345,Nobody's Baby,Nobody's Baby,2001-01-01,110,40000000.0,92000000.0,US,en,5.1,28.0,1.8,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zzqp3TKdTZ10WcOzXvBoBZfzv7V.jpg,"Comedy,Drama",Non renseigné,United States of America,,Non renseigné,,,2001
tt2609778,319017,Le dernier hétéro sur Terre,The Last Straight Man,2014-05-06,110,40000000.0,92000000.0,US,en,5.1,38.0,0.3,"Lewis ne veut aucunement rater l'enterrement de vie de garçon de Cooper, son meilleur ami hétéro. Et pour cause : il en est secrètement amoureux... Après une soirée endiablée, les deux hommes finissent par enfin coucher ensemble et décident alors de se donner rendez-vous chaque année, le même jour, à la même heure, dans la même chambre d'hôtel...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/cZ7LborKEsRGiXORKRS4kvZWNpx.jpg,"Comedy,Drama,Romance","sexual identity, friendship, sexuality, male homosexuality, in the closet, lgbt, closeted homosexual, gay theme",United States of America,Thrillsville Productions,Non renseigné,"friendship,lgbt,gay theme",,2014
